Kategoria;Produkt;kJ_per_portion;kcal_per_portion;fat_per_portion;kwasy_per_portion;carbs_per_portion;sugar_per_portion;protein_per_portion;salt_per_portion
Kurczak Kentucky;Nóżka;708;169;10;1.8;6.1;0.3;15;1.41
Kurczak Kentucky;Pierś;989;236;11;2;7.3;1;27;1.35
Kurczak Kentucky;Żebro;1300;310;14;2.5;7.6;0.7;40;1.87
Kurczak Kentucky;Udko;1149;276;17;4;6.4;0.4;23;1.61
Kurczak Kentucky;Skrzydło;792;189;11;2;7.2;0.3;16;1.11
Kurczak Hot & Spicy;Nóżka;859;205;12;2.2;6;0.4;19;1.69
Kurczak Hot & Spicy;Pierś;1260;302;21;2.9;8.7;0.6;30;2.33
Kurczak Hot & Spicy;Żebro;1950;466;33;4.5;26;1;36;3.31
Kurczak Hot & Spicy;Udko;1654;397;33;5.7;12;0.6;25;2.26
Kurczak Hot & Spicy;Skrzydełko;976;234;16;3;6.9;0.3;16;1.77
Kurczak;Hot & Spicy Strips;384;92;5;1.1;3.2;0.1;6.6;1.33
Kurczak;Hot Wings;477;114;7.4;1.4;5;0.2;7;0.87
Kurczak;Hot & Spicy Bites;1212;291;18;4.2;14;0.5;17;1.6
Burgery i Wrapy;Zinger Burger;1863;445;22;3.2;36;4.8;25;3.03
Burgery i Wrapy;Zinger Max;2472;590;29;5;41;5;41;4.51
Burgery i Wrapy;Zinger Ser&Bekon;2188;524;26;5;40;4.6;30;3.36
Burgery i Wrapy;Grander Burger;3162;756;38;8.4;61;14.7;37;6.54
Burgery i Wrapy;Grander Max;4503;1075;56;12;81;7.5;60;7.8
Burgery i Wrapy;Longer;1300;309;8;1;43;9.4;15;2.4
Burgery i Wrapy;CheeseBurger;1298;309;9;2.8;40;8.8;17;2.6
Burgery i Wrapy;iTwist;1463;350;18;2;38;1.1;11;1.56
Burgery i Wrapy;Twister;2420;579;30;2.1;57;3.5;23;2.6
Burgery i Wrapy;Mega pocket;2993;715;37;4.9;62;5.2;30;5.57
Burgery i Wrapy;Qurrito Grande;4509;1078;64;20;80;15.7;46;5.06
Burgery i Wrapy;Qurrito;2893;692;38;14;53;10.6;35;3.73
Burgery i Wrapy;Grander Kentucky Gold Burger;3520;842;45;8.3;78;14.1;36;4.99
Burgery i Wrapy;Kentucky Gold Wrapper;4995;1197;77;15;91;15.8;42;7.35
Burgery i Wrapy;Halloumi Vege Burger;2962;708;39;20;55;11.8;31;5.12
Burgery i Wrapy;Twister Halloumi Vege;2899;697;44;19;44;5.5;28;4.63
Burgery i Wrapy;Qurrito Śniadaniowe;2279;548;35;15;25;0;30;1.36
Burgery i Wrapy;Tost z jajkiem i serem;1536;368;20;5.8;31;1.9;17;1.14
Burgery i Wrapy;Brioszka śniadaniowa;2845;680;33;4;68;9.3;30;2.83
Burgery i Wrapy;Podwójny toast z jajkiem serem i bekonem;3078;738;41;13;55;3.6;35;2.31
Burgery i Wrapy;Bajgiel śniadaniowy;2683;638;26;5.3;70;6.8;29;2.09
Ryż i Strips/Bites;Ryż i Strips Sweet Chilli Standard;2938;697;16;1.8;120;13;19;3.07
Ryż i Strips/Bites;Ryż i Strips Sweet Chilli Grande;3729;884;20;2.3;152;16.5;24;3.89
Ryż i Strips/Bites;Ryż i Strips Orientalny Teriyaki Standard;2002;476;15;2.1;73;16.9;14;4.89
Ryż i Strips/Bites;Ryż i Strips Orientalny Teriyaki Grande;2541;604;19;2.6;92;21.5;17;5.89
Ryż i Strips/Bites;Bites Sweet Chilli Standard;2341;561;34;4.9;37;10.4;27;5.89
Ryż i Strips/Bites;Bites Sweet Chilli Grande;3949;946;58;8.3;62;17.5;46;5.89
